id,Kichwa,Español,Etiqueta
1,Abya yala, Continente americano,positivo 
2,Abyalami chawchuri rikurimanta, Racismo en América,negativo 
3,ACCIDENTES GEOGRAFICOS, ALLPAPI TIYASHKAKUNA,negativo
4,Acequia, Wayku,neutro 
5,Achachilasa- ñawpa kawsakkuna kitsil, Antepasados,neutro 
6,Achik, Claro- luz,positivo 
7,Achik mama, Madrina,neutro 
8,Achik wawa, Ahijado- ahijada,neutro 
9,Achik yaya / achik tayta, Padrino,neutro 
10,Achiksamaytu, Ozono,neutro 
11,Achikshumaytu, Ozono,neutro 
12,Achikyachina (yuyaymanta), Aclarar,positivo 
13,Achikyana (punchamanta), Aclarar,positivo 
14,Achka, mucho,positivo 
15,Achkak, Suficiente,neutro 
16,Ahak, Ofensor,neutro 
17,Ahay, Ofender- ofensa,negativo 
18,Akapi, Cebada,neutro 
19,Akcha, Pelo- cabello,positivo 
20,Akcha kara, Cuero cabelludo,neutro 
21,Akllashka chani, Muestra Estadística,positivo 
22,Akllawarmi, Virgen,positivo 
23,Akllay, escoger,positivo 
24,Akna, Ceremonia,negativo 
25,Akna, Ceremonia,negativo 
26,Akukutinchik, Múltiplo del gramo,neutro 
27,Akuna, Masticar,neutro 
28,Akuy, Vil,negativo 
29,Alakay, Alcanzar,positivo 
30,Alapana, pegar- adherir,negativo 
31,Alaparina, Apegarse- aferrarse,negativo 
32,Allana, Excavar,negativo 
33,Allawka, Derecha mano,positivo 
34,Allawka- alliman, Derecho,positivo 
35,Alli, Bien- bueno,positivo 
36,Alli maki, Mano derecha,positivo 
37,Allichi, adorno,positivo 
38,Allichina, Arreglar,positivo 
39,Allichiy, Arreglar,positivo 
40,Allikachina, Gustar,neutro 
41,Allikay, Salud- Bneficio,positivo 
42,Allikillkay, Ortografía,positivo 
43,Allikillkay (W), Ortografía,positivo 
44,Allimanta, despacio- de buena manera,neutro 
45,Allimikuy, Nutrición,positivo 
46,Allin, Magnifico,neutro 
47,Alliyana, Sanar- curar,positivo 
48,Alliyay, Recuperar la salud,positivo 
49,Allku, Perro,neutro 
50,Allpa, Tierra- suelo,neutro 
51,Allpa kara, Corteza terrestre,positivo 
52,Allpa khiwa, Hierba rastrera,negativo 
53,Allpachawpipacha muyuy, Línea ecuatorial,neutro 
54,Allpachinkari, Erosión,negativo 
55,Allpachinkariy, Erosión,negativo 
56,Allpachukchuy, Temblor,negativo 
57,Allpakamay saywachi, Geografía política,neutro 
58,Allpakutik, Movimiento de nutación,neutro 
59,Allpamama chaska, Planeta tierra,positivo 
60,Allpamamakamay, Geografía,neutro 
61,Allpamamapi rikuchi, Ubicación Geográfica,neutro 
62,Allpampay, Superficie de la tierra,neutro 
63,Allpamuyuy, Movimiento de traslación,neutro 
64,Allpanpa, Superficial,negativo 
65,Allpapacha, Continente,neutro 
66,Allpapachakak, Natural,positivo 
67,Allpapachapampa, Superficie de la tierra,neutro 
68,Allpapachapi tiyak chalwakuna, Recursos Ictiológicos,neutro 
69,Allpapachapi tiyak chukikuna, Recursos Mineros,positivo 
70,Allpapachapi tiyak yakukuna, Recursos hidrográfico,positivo 
71,Allpapachapi tiyak yurakuna, Recursos Forestales,positivo 
72,Allpapachapi tiyakuna, Recursos naturales,positivo 
73,Allpapiruruy, Movimiento de rotación,neutro 
74,Allparantikillka, Escritura,positivo 
75,Allpashuyu, Mapa,neutro 
76,Allpashuyukamay, Cartografía,negativo 
77,Allpawaklliyay, Erosión,negativo 
78,Allpawira, Petróleo,negativo 
79,Allpawira- Wisisi, Petróleo,negativo 
80,Allpawku, Subterráneo,negativo 
81,Allpañan, Vía terrestre,positivo 
82,Allpañutuchina, Desterronar,negativo 
83,Almut, Almud 25 lib,negativo 
84,Ama llulla, Honestidad,positivo 
85,Amapuna, Traer,positivo 
86,Amaru, Serpiente,negativo 
87,Amawta, Científico,neutro 
88,Amawta yachay, Contenido científico,neutro 
89,Amawtay, Ciencia,positivo 
90,Amañana, Adaptar,neutro 
91,Amañana- yacharina, Adaptar,neutro 
92,Amañarina, Adaptarse,neutro 
93,Amañariy, Adaptación,positivo 
94,Amita, sopa,positivo 
95,Ampana, Bostezar,negativo 
96,Amsa, Opaco,negativo 
97,Amsayana, Ocultar el sol,neutro 
98,Amukay, Suavidad,positivo 
99,Amulliy, Poner algo en la boca,negativo 
100,Ana, Lunar,neutro 
101,Anaku, Falda,positivo 
102,Anchachilasa- ñawpa kawsakkuna, Antepasados,neutro 
103,Anchakuyay, Pasión de vehemencia amorosa,negativo 
104,Anchallpa, Globo Terráqueo,negativo 
105,Anchallpakamay, Geopolítica,negativo 
106,Anchayupay, Importancia,positivo 
107,Anchuchina, Quitar- sustraer,negativo 
108,Anchuchiy, Quitar,negativo 
109,Anchuna, Irse de casa- moverse de sitio,negativo 
110,Anchuriy, retirarse,neutro 
111,Anchuy, retirada,negativo 
112,Anka, Gallinazo,negativo 
113,Ankana, Volar,positivo 
114,Ankas, Azul,positivo 
115,ANKAS TAPA WARA, blue jean,positivo 
116,Ankay, ceremonial,negativo 
117,Ankichik, Radio emisor,neutro 
118,Ankiyachik, Radio receptor,neutro 
119,Anku, Vena- arteria,neutro 
120,Ankuyana, Marchitarse envecer,neutro 
121,Anta, Metal,neutro 
122,Antaki, Plomo,negativo 
123,Antakullki, Monedas,positivo 
124,Antanikik, Computadora,positivo 
125,Antanikik chaski, Correo Electrónico,positivo 
126,Antapachachik, Reloj mecánico,positivo 
127,Antawa, Coche- carro,positivo 
128,Antayari, Radio,positivo 
129,Antayay, Metalúrgico,neutro 
130,Antisuyu, Región Amazónica,neutro 
131,Apana, Llevar,positivo 
132,Apanakuy, Llevarse - relacionarse,positivo 
133,Apankara, Cáncerenfermedad,negativo 
134,Apankura, Cáncer signo,negativo 
135,Aparikanta, Medios de transporte,positivo 
136,Aparina, Cargar,neutro 
137,Apariykancha, Medios de transporte,positivo 
138,Apay, guiar- conducir,positivo 
139,Api, colada- mazamorra,negativo 
140,Apuk, ancestros,negativo 
141,Apuk, Líder-Autoridad,positivo 
142,Apukkuna, Autoridades,positivo 
143,Apukkuna tantaripacha, Período de integración,neutro 
144,Apukkuna tantatripacha, Período de Integración,neutro 
145,Apuktukushka, Emperador,neutro 
146,Apunchik, Dios,positivo 
147,Apunchikamay, Religión,positivo 
148,Apunchikwasi, Iglesia,positivo 
149,Apuskachak, soberbio,negativo 
150,Apyayala, Continente americano,neutro 
