id,Kichwa,Español
1,abya yala, continente americano 
2,abyalami chawchuri rikurimanta, racismo en américa 
3,accidentes geograficos, allpapi tiyashkakuna 
4,acequia, wayku 
5,achachilasa ñawpa kawsakkuna kitsil, antepasados 
6,achik, claro luz 
7,achik mama, madrina 
8,achik wawa, ahijado ahijada 
9,achik yaya / achik tayta, padrino 
10,achiksamaytu, ozono 
11,achikshumaytu, ozono 
12,achikyachina yuyaymanta, aclarar 
13,achikyana punchamanta, aclarar 
14,achka, mucho 
15,achkak, suficiente 
16,ahak, ofensor 
17,ahay, ofender ofensa 
18,akapi, cebada 
19,akcha, pelo cabello 
20,akcha kara, cuero cabelludo 
21,akllashka chani, muestra estadística 
22,akllawarmi, virgen 
23,akllay, escoger 
24,akna, ceremonia 
25,akna, ceremonia 
26,akukutinchik, múltiplo del gramo 
27,akuna, masticar 
28,akuy, vil 
29,alakay, alcanzar 
30,alapana, pegar adherir 
31,alaparina, apegarse aferrarse 
32,allana, excavar 
33,allawka, derecha mano 
34,allawka alliman, derecho 
35,alli, bien bueno 
36,alli maki, mano derecha 
37,allichi, adorno 
38,allichina, arreglar 
39,allichiy, arreglar 
40,allikachina, gustar 
41,allikay, salud bneficio 
42,allikillkay, ortografía 
43,allikillkay w, ortografía 
44,allimanta, despacio de buena manera 
45,allimikuy, nutrición 
46,allin, magnifico 
47,alliyana, sanar curar 
48,alliyay, recuperar la salud 
49,allku, perro 
50,allpa, tierra suelo 
51,allpa kara, corteza terrestre 
52,allpa khiwa, hierba rastrera 
53,allpachawpipacha muyuy, línea ecuatorial 
54,allpachinkari, erosión 
55,allpachinkariy, erosión 
56,allpachukchuy, temblor 
57,allpakamay saywachi, geografía política 
58,allpakutik, movimiento de nutación 
59,allpamama chaska, planeta tierra 
60,allpamamakamay, geografía 
61,allpamamapi rikuchi, ubicación geográfica 
62,allpampay, superficie de la tierra 
63,allpamuyuy, movimiento de traslación 
64,allpanpa, superficial 
65,allpapacha, continente 
66,allpapachakak, natural 
67,allpapachapampa, superficie de la tierra 
68,allpapachapi tiyak chalwakuna, recursos ictiológicos 
69,allpapachapi tiyak chukikuna, recursos mineros 
70,allpapachapi tiyak yakukuna, recursos hidrográfico 
71,allpapachapi tiyak yurakuna, recursos forestales 
72,allpapachapi tiyakuna, recursos naturales 
73,allpapiruruy, movimiento de rotación 
74,allparantikillka, escritura 
75,allpashuyu, mapa 
76,allpashuyukamay, cartografía 
77,allpawaklliyay, erosión 
78,allpawira, petróleo 
79,allpawira wisisi, petróleo 
80,allpawku, subterráneo 
81,allpañan, vía terrestre 
82,allpañutuchina, desterronar 
83,almut, almud 25 lib 
84,ama llulla, honestidad 
